Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes
000000057163.jpg, 0.548527, 0.19161, 46.7, 5
000000556425.jpg, 0.452311, 0.23206, 51.7, 18
000000318069.jpg, 0.692501, 0.22041, 50.3, 3
000000538866.jpg, 0.528660, 0.22962, 49.9, 22
000000039723.jpg, 0.538322, 0.23234, 49.7, 9
000000089085.jpg, 0.819899, 0.23458, 49.7, 5
000000258618.jpg, 0.515875, 0.22237, 48.7, 5
000000168402.jpg, 0.763927, 0.22062, 45.4, 5
000000074054.jpg, 0.418902, 0.19155, 46.8, 12
000000008082.jpg, 0.628045, 0.19067, 48.8, 2
000000515596.jpg, 0.649923, 0.22198, 47.1, 5
000000212779.jpg, 0.607513, 0.22754, 50.1, 7
000000022553.jpg, 0.946290, 0.22015, 47.6, 2
000000191148.jpg, 0.769585, 0.23380, 47.4, 3
000000216328.jpg, 0.533074, 0.15617, 44.0, 8
000000442265.jpg, 0.636559, 0.24312, 46.7, 8
000000176072.jpg, 0.584103, 0.23046, 48.5, 3
000000446489.jpg, 0.915436, 0.23517, 47.9, 4
000000226186.jpg, 0.940172, 0.23350, 47.8, 1
000000091964.jpg, 0.821662, 0.21930, 47.8, 6
000000051036.jpg, 0.837182, 0.21823, 50.8, 7
000000060643.jpg, 0.637037, 0.23357, 46.8, 5
000000447750.jpg, 0.704550, 0.22087, 49.3, 15
000000403604.jpg, 0.814149, 0.23628, 46.8, 1
000000406815.jpg, 0.610898, 0.22161, 47.3, 1
000000054263.jpg, 0.725456, 0.22044, 50.1, 17
000000024170.jpg, 0.652762, 0.20606, 47.1, 4
000000378510.jpg, 0.666434, 0.21825, 49.0, 5
000000435555.jpg, 0.412650, 0.23298, 49.0, 2
000000176611.jpg, 0.905029, 0.23344, 49.4, 2
000000331293.jpg, 0.000000, 0.23869, 48.4, 0
000000417473.jpg, 0.759618, 0.22245, 50.8, 7
000000134489.jpg, 0.854517, 0.22308, 47.3, 3
000000163298.jpg, 0.856496, 0.22203, 51.6, 1
000000541187.jpg, 0.557166, 0.22202, 47.7, 3
000000375984.jpg, 0.639630, 0.23407, 51.6, 4
000000173990.jpg, 0.731682, 0.23517, 51.0, 4
000000501662.jpg, 0.714443, 0.23604, 49.9, 3
000000148674.jpg, 0.518939, 0.22001, 47.4, 17
000000112233.jpg, 0.744809, 0.31041, 49.4, 1
000000451735.jpg, 0.750936, 0.19361, 47.7, 17
000000127442.jpg, 0.611622, 0.23505, 48.9, 8
000000556539.jpg, 0.539263, 0.23417, 44.9, 20
000000496080.jpg, 0.564425, 0.22637, 47.2, 13
000000237634.jpg, 0.900355, 0.23627, 48.6, 4
000000330587.jpg, 0.628255, 0.25194, 49.9, 3
000000287837.jpg, 0.551918, 0.31235, 49.8, 29
000000294748.jpg, 0.904447, 0.22534, 48.6, 1
000000149569.jpg, 0.945618, 0.24103, 48.5, 2
000000158847.jpg, 0.592496, 0.23548, 49.6, 15
000000364978.jpg, 0.603215, 0.22149, 48.5, 2
000000304987.jpg, 0.781506, 0.22449, 49.1, 6
000000405422.jpg, 0.659333, 0.22021, 50.8, 5
000000066740.jpg, 0.655239, 0.23600, 48.1, 1
000000518045.jpg, 0.769756, 0.22432, 48.3, 1
000000117992.jpg, 0.473377, 0.22258, 49.0, 18
000000495301.jpg, 0.664200, 0.24624, 50.8, 10
000000208307.jpg, 0.688816, 0.22413, 50.4, 5
000000488025.jpg, 0.623415, 0.23405, 48.4, 12
000000298968.jpg, 0.761091, 0.23867, 48.7, 2
000000212729.jpg, 0.692360, 0.23502, 50.5, 13
000000104076.jpg, 0.662624, 0.22394, 46.5, 31
000000214357.jpg, 0.701828, 0.26043, 54.7, 10
000000324038.jpg, 0.558405, 0.19919, 53.3, 10
000000469674.jpg, 0.849058, 0.24473, 52.1, 6
000000559913.jpg, 0.757080, 0.22379, 48.5, 6
000000519119.jpg, 0.696632, 0.19377, 48.9, 18
000000030320.jpg, 0.541709, 0.24286, 48.6, 13
000000281256.jpg, 0.542669, 0.22116, 47.4, 8
000000102760.jpg, 0.492927, 0.23266, 51.9, 2
000000541494.jpg, 0.518127, 0.22551, 51.9, 7
000000515443.jpg, 0.879231, 0.19948, 48.5, 5
000000549611.jpg, 0.849851, 0.26559, 53.1, 2
000000578443.jpg, 0.589080, 0.24043, 52.7, 14
000000550343.jpg, 0.674960, 0.22912, 48.7, 6
000000300935.jpg, 0.736441, 0.23696, 49.2, 10
000000505756.jpg, 0.645988, 0.23794, 50.1, 17
000000081347.jpg, 0.716091, 0.23826, 49.1, 2
000000121127.jpg, 0.781391, 0.23853, 48.1, 5
000000198749.jpg, 0.833610, 0.23027, 46.2, 3
000000440150.jpg, 0.551726, 0.22591, 47.7, 23
000000561236.jpg, 0.735981, 0.24068, 49.6, 3
000000263129.jpg, 0.643028, 0.22232, 50.4, 4
000000509249.jpg, 0.767041, 0.22864, 47.9, 10
000000237461.jpg, 0.793504, 0.24191, 51.2, 3
000000302805.jpg, 0.664137, 0.22550, 49.6, 6
000000092208.jpg, 0.652054, 0.23675, 49.7, 10
000000388003.jpg, 0.657925, 0.23941, 49.4, 7
000000125409.jpg, 0.000000, 0.21661, 45.8, 0
000000041538.jpg, 0.428445, 0.23636, 49.8, 4
000000472901.jpg, 0.660583, 0.22565, 43.4, 7
000000139096.jpg, 0.773479, 0.22656, 50.0, 2
000000186680.jpg, 0.839787, 0.22705, 47.1, 6
000000557779.jpg, 0.628217, 0.22368, 49.7, 14
000000474044.jpg, 0.829749, 0.23725, 49.4, 6
000000415092.jpg, 0.760201, 0.22444, 45.2, 7
000000021748.jpg, 0.633480, 0.22191, 50.9, 2
000000557456.jpg, 0.762383, 0.18240, 45.4, 4
000000158008.jpg, 0.697515, 0.23769, 48.1, 2
000000341803.jpg, 0.814866, 0.22407, 49.5, 4
000000344109.jpg, 0.767404, 0.22374, 49.5, 3
000000235821.jpg, 0.525235, 0.22355, 46.8, 20
000000168351.jpg, 0.821847, 0.24120, 48.5, 3
000000546916.jpg, 0.621562, 0.23729, 47.8, 4
000000350976.jpg, 0.639560, 0.22526, 47.7, 2
000000423831.jpg, 0.779734, 0.24011, 48.1, 4
000000185128.jpg, 0.522292, 0.24054, 52.8, 12
000000480350.jpg, 0.710812, 0.22784, 49.9, 20
000000258944.jpg, 0.957497, 0.22484, 47.8, 1
000000070264.jpg, 0.674084, 0.23795, 43.6, 4
000000218344.jpg, 0.879031, 0.23710, 50.9, 2
000000276920.jpg, 0.537171, 0.22356, 48.2, 11
000000033951.jpg, 0.537525, 0.22383, 50.5, 38
000000362717.jpg, 0.590342, 0.22452, 47.2, 5
000000371096.jpg, 0.405648, 0.23811, 49.6, 3
000000077157.jpg, 0.862486, 0.23623, 49.7, 3
000000237053.jpg, 0.951367, 0.23855, 49.9, 1
000000369435.jpg, 0.784943, 0.19753, 46.5, 10
000000074149.jpg, 0.714988, 0.23689, 47.2, 9
000000188714.jpg, 0.665675, 0.24262, 45.8, 4
000000123078.jpg, 0.925977, 0.24114, 45.8, 2
000000523967.jpg, 0.890342, 0.23467, 46.2, 6
000000095942.jpg, 0.875617, 0.22198, 48.1, 2
000000447683.jpg, 0.451391, 0.31537, 51.0, 6
000000558085.jpg, 0.624780, 0.22315, 46.9, 8
000000138427.jpg, 0.837936, 0.20090, 49.7, 1
000000498069.jpg, 0.858747, 0.23985, 49.9, 7
000000384820.jpg, 0.668729, 0.22533, 45.2, 9
000000078588.jpg, 0.515487, 0.22330, 48.7, 31
000000198131.jpg, 0.900284, 0.20924, 49.0, 3
000000199562.jpg, 0.523777, 0.18000, 44.3, 6
000000301947.jpg, 0.887053, 0.23906, 44.5, 1
000000532395.jpg, 0.902266, 0.22668, 49.1, 3
000000291364.jpg, 0.460531, 0.22248, 48.9, 7
000000477091.jpg, 0.645714, 0.22358, 49.9, 4
000000548774.jpg, 0.527660, 0.23535, 50.8, 11
000000146642.jpg, 0.867889, 0.23742, 49.5, 3
000000492149.jpg, 0.804817, 0.23141, 53.7, 2
000000171263.jpg, 0.598480, 0.22525, 48.4, 14
000000462600.jpg, 0.860153, 0.22290, 48.1, 1
000000087952.jpg, 0.618569, 0.22577, 47.7, 5
000000366987.jpg, 0.826841, 0.19428, 48.3, 4
000000392752.jpg, 0.655208, 0.23856, 50.8, 3
000000502085.jpg, 0.896805, 0.28773, 48.7, 2
000000132543.jpg, 0.546782, 0.22366, 48.8, 9
000000245200.jpg, 0.596300, 0.24482, 46.5, 2
000000138313.jpg, 0.380351, 0.23979, 52.4, 3
000000162671.jpg, 0.722543, 0.24088, 49.8, 8
000000024114.jpg, 0.930848, 0.22881, 46.7, 2
000000555846.jpg, 0.871432, 0.22819, 46.4, 2
000000378084.jpg, 0.897991, 0.24463, 48.2, 2
000000571685.jpg, 0.665182, 0.22584, 45.3, 17
000000167124.jpg, 0.537757, 0.22654, 46.8, 1
000000306695.jpg, 0.517441, 0.24038, 48.7, 5
000000383098.jpg, 0.731928, 0.23281, 51.7, 5
000000315983.jpg, 0.812305, 0.22725, 48.2, 6
000000502350.jpg, 0.709867, 0.22381, 49.3, 2
000000065423.jpg, 0.764224, 0.24166, 47.7, 2
000000328556.jpg, 0.940741, 0.23966, 46.8, 1
000000176261.jpg, 0.673335, 0.27990, 46.0, 4
000000389785.jpg, 0.708284, 0.19123, 48.9, 12
000000096141.jpg, 0.615901, 0.23782, 50.6, 9
000000531698.jpg, 0.716666, 0.24004, 47.3, 9
000000298918.jpg, 0.849598, 0.22460, 49.3, 8
000000507973.jpg, 0.511324, 0.22597, 49.4, 5
000000532039.jpg, 0.505324, 0.31065, 50.2, 10
000000294385.jpg, 0.506708, 0.23879, 51.3, 2
000000357694.jpg, 0.518303, 0.19780, 48.2, 24
000000320010.jpg, 0.748312, 0.24098, 45.7, 6
000000502096.jpg, 0.928200, 0.22168, 49.2, 1
000000042607.jpg, 0.493793, 0.23767, 49.0, 7
000000291250.jpg, 0.567610, 0.22260, 48.2, 9
000000151937.jpg, 0.591102, 0.18142, 48.4, 10
000000014324.jpg, 0.802087, 0.23745, 51.3, 3
000000439713.jpg, 0.694518, 0.22657, 48.3, 1
000000039164.jpg, 0.874173, 0.22689, 47.7, 7
000000398543.jpg, 0.559523, 0.24296, 47.0, 3
000000122068.jpg, 0.453901, 0.24202, 43.1, 9
000000057900.jpg, 0.696844, 0.23909, 48.5, 14
000000273644.jpg, 0.316846, 0.27224, 49.8, 5
000000466120.jpg, 0.663272, 0.22135, 50.3, 7
000000257573.jpg, 0.792382, 0.22457, 47.1, 5
000000300539.jpg, 0.750203, 0.24442, 47.1, 10
000000579285.jpg, 0.713090, 0.19102, 49.4, 17
000000026417.jpg, 0.502472, 0.22957, 47.8, 1
000000178765.jpg, 0.685367, 0.22411, 49.9, 3
000000315684.jpg, 0.603171, 0.23893, 47.8, 3
000000177484.jpg, 0.661401, 0.22857, 49.4, 2
000000353708.jpg, 0.935759, 0.22725, 47.5, 1
000000562976.jpg, 0.508182, 0.22454, 48.1, 6
000000222937.jpg, 0.949427, 0.24287, 45.4, 1
000000264841.jpg, 0.507140, 0.23958, 47.8, 10
000000076391.jpg, 0.544425, 0.23793, 49.4, 15
000000318480.jpg, 0.769611, 0.23440, 51.1, 3
000000441329.jpg, 0.708765, 0.22260, 49.9, 6
000000458512.jpg, 0.735967, 0.23224, 45.1, 10
000000078776.jpg, 0.608398, 0.23372, 51.5, 5
000000531231.jpg, 0.754470, 0.22746, 48.0, 2
000000099016.jpg, 0.459356, 0.23975, 49.1, 24
000000273343.jpg, 0.800708, 0.26754, 44.7, 2
000000030606.jpg, 0.694299, 0.19500, 47.5, 6
000000397614.jpg, 0.689365, 0.23872, 47.6, 8
000000003486.jpg, 0.664159, 0.19788, 47.1, 5
000000108790.jpg, 0.681067, 0.23726, 45.6, 3
000000428022.jpg, 0.611190, 0.22524, 49.6, 13
000000466141.jpg, 0.535618, 0.22722, 47.6, 35
000000227275.jpg, 0.581043, 0.22658, 48.4, 7
000000098625.jpg, 0.891253, 0.22379, 51.1, 3
000000499647.jpg, 0.761108, 0.23879, 52.7, 7
000000073990.jpg, 0.604302, 0.23836, 47.5, 10
000000343617.jpg, 0.525010, 0.24204, 47.0, 10
000000153470.jpg, 0.875312, 0.23698, 46.8, 3
000000380324.jpg, 0.807433, 0.24240, 48.7, 4
000000163915.jpg, 0.753447, 0.24014, 48.2, 4
000000162186.jpg, 0.800740, 0.22680, 48.2, 3
000000501351.jpg, 0.512177, 0.23601, 50.1, 2
000000382851.jpg, 0.677071, 0.24088, 49.1, 5
000000335782.jpg, 0.845405, 0.19053, 47.3, 1
000000074985.jpg, 0.708352, 0.23525, 48.5, 6
000000417401.jpg, 0.585440, 0.24169, 51.4, 4
000000350474.jpg, 0.669220, 0.22635, 50.3, 6
000000550531.jpg, 0.894174, 0.24148, 53.7, 4
000000086028.jpg, 0.572228, 0.24007, 47.8, 5
000000128934.jpg, 0.887485, 0.25897, 47.9, 3
000000460936.jpg, 0.629330, 0.22471, 56.7, 9
000000234583.jpg, 0.639937, 0.23748, 49.6, 7
000000375555.jpg, 0.558248, 0.24162, 48.0, 9
000000252258.jpg, 0.934843, 0.22261, 52.9, 2
000000221201.jpg, 0.664822, 0.22496, 55.3, 17
000000526938.jpg, 0.501698, 0.24223, 48.9, 24
000000080083.jpg, 0.554239, 0.24030, 47.4, 9
000000305566.jpg, 0.586894, 0.19551, 49.4, 1
000000268186.jpg, 0.669837, 0.23710, 50.0, 3
000000301354.jpg, 0.750231, 0.23747, 48.9, 2
000000410026.jpg, 0.368833, 0.24053, 51.6, 6
000000240886.jpg, 0.777077, 0.23563, 48.6, 2
000000051190.jpg, 0.732984, 0.22625, 50.3, 3
000000339205.jpg, 0.618896, 0.19951, 50.9, 5
000000110847.jpg, 0.687824, 0.22777, 47.4, 19
000000023340.jpg, 0.653302, 0.31197, 51.8, 4
000000397386.jpg, 0.744637, 0.22622, 50.4, 2
000000020559.jpg, 0.938504, 0.23661, 50.5, 4
000000277476.jpg, 0.527322, 0.23553, 47.6, 13
000000579363.jpg, 0.669523, 0.22594, 49.7, 3
000000476759.jpg, 0.593532, 0.23697, 50.9, 13
000000300521.jpg, 0.689041, 0.22354, 46.9, 4
000000132602.jpg, 0.710785, 0.23882, 48.9, 11
000000467666.jpg, 0.912154, 0.22829, 49.3, 2
000000252268.jpg, 0.630700, 0.23624, 50.9, 9
000000247417.jpg, 0.647931, 0.23043, 53.6, 5
000000324457.jpg, 0.560551, 0.22820, 52.3, 9
000000477504.jpg, 0.569419, 0.23537, 52.1, 4
000000437649.jpg, 0.807620, 0.31524, 53.6, 3
000000384279.jpg, 0.569288, 0.23528, 54.3, 4
000000077196.jpg, 0.509369, 0.22143, 52.6, 3
000000426547.jpg, 0.535789, 0.24012, 50.8, 6
000000136341.jpg, 0.619442, 0.23941, 49.1, 11
000000273813.jpg, 0.882341, 0.27576, 46.1, 1
000000279037.jpg, 0.943778, 0.23979, 49.9, 2
000000101600.jpg, 0.405942, 0.30832, 52.0, 2
000000315655.jpg, 0.685381, 0.24222, 51.3, 17
000000109729.jpg, 0.650499, 0.24086, 49.9, 9
000000239024.jpg, 0.897198, 0.24018, 50.7, 2
000000532138.jpg, 0.687386, 0.22257, 49.6, 2
000000326267.jpg, 0.728962, 0.24224, 51.6, 12
000000172864.jpg, 0.800469, 0.22669, 48.2, 9
000000380407.jpg, 0.626047, 0.23887, 52.2, 6
000000418153.jpg, 0.565746, 0.24304, 48.5, 10
000000145887.jpg, 0.637503, 0.25711, 51.3, 17
000000282581.jpg, 0.672037, 0.23659, 53.3, 12
000000179991.jpg, 0.483263, 0.22854, 49.7, 12
000000069760.jpg, 0.453043, 0.24055, 50.1, 6
000000273810.jpg, 0.683365, 0.31540, 50.5, 7
000000188004.jpg, 0.782796, 0.22694, 48.7, 3
000000257402.jpg, 0.898325, 0.22623, 50.4, 10
000000138438.jpg, 0.545150, 0.23734, 49.3, 11
000000246516.jpg, 0.717660, 0.24253, 52.4, 14
000000227287.jpg, 0.600755, 0.24543, 52.0, 8
000000222706.jpg, 0.561609, 0.24216, 51.4, 14
000000425236.jpg, 0.689909, 0.24195, 49.9, 6
000000152025.jpg, 0.764692, 0.24025, 49.2, 13
000000328263.jpg, 0.000000, 0.24501, 50.1, 0
000000466228.jpg, 0.657473, 0.23940, 51.8, 7
000000222524.jpg, 0.948103, 0.22456, 50.0, 1
000000354352.jpg, 0.641954, 0.24025, 50.1, 3
000000382941.jpg, 0.530454, 0.23812, 49.6, 10
000000374648.jpg, 0.692584, 0.21160, 48.5, 5
000000349865.jpg, 0.654887, 0.22598, 50.4, 12
000000405339.jpg, 0.604098, 0.24018, 50.5, 4
000000402274.jpg, 0.830355, 0.22697, 48.8, 1
000000117526.jpg, 0.602526, 0.31568, 49.9, 10
000000184380.jpg, 0.537873, 0.23690, 49.1, 16
000000409506.jpg, 0.547512, 0.17171, 43.0, 25
000000211211.jpg, 0.712279, 0.19225, 50.6, 7
000000138277.jpg, 0.536016, 0.22821, 52.6, 3
000000119179.jpg, 0.671408, 0.24170, 52.8, 6
000000098130.jpg, 0.447592, 0.31137, 53.7, 3
000000534621.jpg, 0.551111, 0.23917, 50.0, 18
000000365680.jpg, 0.602740, 0.24136, 51.9, 8
000000242668.jpg, 0.612934, 0.23732, 49.5, 12
000000351543.jpg, 0.863439, 0.25603, 47.7, 2
000000058154.jpg, 0.619614, 0.22557, 47.4, 3
000000221302.jpg, 0.601449, 0.24428, 51.9, 9
000000132364.jpg, 0.536850, 0.30742, 58.7, 5
000000039186.jpg, 0.600198, 0.32642, 55.0, 14
000000538333.jpg, 0.661935, 0.22926, 51.7, 11
000000346998.jpg, 0.575436, 0.24472, 52.4, 1
000000505747.jpg, 0.734238, 0.23913, 49.8, 1
000000293569.jpg, 0.599906, 0.22831, 49.9, 17
000000227507.jpg, 0.751546, 0.24353, 50.4, 10
000000035287.jpg, 0.708730, 0.22681, 46.3, 11
000000007586.jpg, 0.538593, 0.22719, 44.2, 21
000000487673.jpg, 0.900783, 0.22753, 46.6, 1
000000333054.jpg, 0.789285, 0.20961, 49.7, 2
000000361471.jpg, 0.620014, 0.30984, 48.9, 15
000000253735.jpg, 0.477558, 0.23814, 47.0, 7
000000290649.jpg, 0.742223, 0.22952, 47.7, 5
000000351248.jpg, 0.679474, 0.23172, 47.0, 10
000000406816.jpg, 0.657558, 0.24025, 50.8, 14
000000124024.jpg, 0.804083, 0.23953, 49.1, 3
000000141791.jpg, 0.669293, 0.24298, 45.3, 10
000000506211.jpg, 0.734150, 0.22785, 49.6, 3
000000263672.jpg, 0.536638, 0.22570, 50.0, 4
000000385976.jpg, 0.770978, 0.23938, 50.7, 10
000000337605.jpg, 0.878730, 0.22777, 48.4, 3
000000105016.jpg, 0.583582, 0.23764, 51.0, 6
000000135569.jpg, 0.750533, 0.22676, 50.9, 4
000000343365.jpg, 0.498982, 0.24196, 49.0, 4
000000160936.jpg, 0.948600, 0.28645, 50.8, 1
000000318752.jpg, 0.642219, 0.24078, 48.5, 35
000000145936.jpg, 0.556688, 0.18993, 50.4, 2
000000024930.jpg, 0.909901, 0.24012, 48.6, 2
000000347020.jpg, 0.493619, 0.31421, 50.1, 19
000000043280.jpg, 0.638082, 0.23717, 47.4, 2
000000207484.jpg, 0.725609, 0.21292, 48.6, 14
000000057874.jpg, 0.549204, 0.24196, 48.4, 10
000000379431.jpg, 0.604695, 0.19571, 48.4, 12
000000189974.jpg, 0.542591, 0.24067, 48.6, 34
000000524289.jpg, 0.629159, 0.21012, 50.1, 8
000000286960.jpg, 0.911065, 0.23495, 48.8, 2
000000150840.jpg, 0.573881, 0.23902, 48.8, 6
000000303634.jpg, 0.658889, 0.25595, 50.0, 24
000000026194.jpg, 0.494255, 0.23928, 51.0, 5
000000024235.jpg, 0.848590, 0.23965, 47.7, 11
000000530003.jpg, 0.771978, 0.23779, 50.9, 4
000000182674.jpg, 0.926177, 0.15100, 46.2, 3
000000342889.jpg, 0.480708, 0.22481, 48.1, 6
000000036975.jpg, 0.750479, 0.22411, 47.4, 14
000000096980.jpg, 0.895059, 0.25470, 52.1, 3
000000466253.jpg, 0.744185, 0.31118, 49.8, 2
000000418183.jpg, 0.611503, 0.22627, 46.4, 14
000000532258.jpg, 0.827230, 0.23979, 49.3, 2
000000250452.jpg, 0.525745, 0.23780, 50.1, 20
000000085497.jpg, 0.640517, 0.24131, 46.1, 9
000000014223.jpg, 0.674022, 0.23837, 52.3, 14
000000394055.jpg, 0.777270, 0.23734, 49.1, 4
000000339263.jpg, 0.850453, 0.30924, 48.6, 4
000000330476.jpg, 0.720457, 0.20926, 48.4, 5
000000305018.jpg, 0.838327, 0.24155, 46.4, 3
000000471220.jpg, 0.622221, 0.22194, 50.9, 10
000000559710.jpg, 0.581695, 0.23704, 47.2, 8
000000575844.jpg, 0.632764, 0.23829, 50.2, 17
000000227062.jpg, 0.616013, 0.22294, 48.2, 2
000000160086.jpg, 0.706378, 0.24023, 48.1, 12
000000366552.jpg, 0.634386, 0.22101, 48.7, 3
000000257088.jpg, 0.754995, 0.20712, 50.6, 1
000000238754.jpg, 0.787540, 0.24064, 48.6, 3
000000492122.jpg, 0.664556, 0.23894, 50.3, 3
000000444406.jpg, 0.465936, 0.19435, 48.0, 3
000000149103.jpg, 0.682936, 0.24026, 48.8, 5
000000519585.jpg, 0.895116, 0.22735, 50.5, 2
000000137714.jpg, 0.704826, 0.22836, 49.6, 13
000000017668.jpg, 0.699983, 0.23520, 48.6, 4
000000501092.jpg, 0.519476, 0.23863, 47.6, 4
000000057787.jpg, 0.598870, 0.22747, 47.6, 5
000000317218.jpg, 0.600501, 0.22667, 47.4, 6
000000280150.jpg, 0.558107, 0.26819, 61.6, 12
000000537187.jpg, 0.786473, 0.22466, 49.9, 2
000000098371.jpg, 0.663084, 0.23869, 50.1, 4
000000492686.jpg, 0.766617, 0.23734, 50.0, 4
